_,PS,PS_prov,PS_search,base,base_prov,base_search
-2,12721.63,12721.63,0.00,0.00,0.00,0.00
-1,3656.57,3656.57,0.00,0.00,0.00,0.00
0,351.30,279.66,71.64,0.00,0.00,0.00
1,349.87,278.13,71.74,0.00,0.00,0.00
2,354.36,279.80,74.55,0.00,0.00,0.00
3,373.22,295.37,77.86,0.00,0.00,0.00
4,359.04,278.78,80.27,0.00,0.00,0.00
5,389.90,306.68,83.23,0.00,0.00,0.00
6,373.44,288.99,84.45,0.00,0.00,0.00
7,371.76,287.08,84.68,0.00,0.00,0.00
8,366.55,288.61,77.94,0.00,0.00,0.00
9,384.05,294.56,89.49,0.00,0.00,0.00
10,367.03,286.25,80.78,0.00,0.00,0.00
