_,PS,PS_prov,PS_search,base,base_prov,base_search
2,30.33,8.87,21.46,0.00,0.00,0.00
3,27.93,8.99,18.94,0.00,0.00,0.00
4,25.40,9.01,16.39,0.00,0.00,0.00
5,26.25,8.95,17.30,0.00,0.00,0.00
6,17.70,9.02,8.67,0.00,0.00,0.00
7,18.29,9.12,9.18,0.00,0.00,0.00
8,15.95,8.99,6.96,0.00,0.00,0.00
9,12.96,8.87,4.09,0.00,0.00,0.00
10,15.14,9.17,5.97,0.00,0.00,0.00
11,12.21,9.05,3.16,0.00,0.00,0.00
12,16.77,8.81,7.96,0.00,0.00,0.00
13,14.46,9.02,5.43,0.00,0.00,0.00
14,15.60,8.97,6.63,0.00,0.00,0.00
15,11.87,9.08,2.79,0.00,0.00,0.00
16,13.47,9.16,4.31,0.00,0.00,0.00
17,309.27,9.14,300.14,0.00,0.00,0.00
18,9.37,8.99,0.38,0.00,0.00,0.00
